break up,00338881,dobj
break with,02436681,pobj_with
bring around,00081478,dobj
bring down,02407551,dobj
bring down,00430013,dobj
bruise,01797206,dobj
bruise,00260446,dobj
brush aside,00802592,dobj
brush off,00802592,dobj
buckle,01281789,subj
buffer,01579748,dobj
bumble,02533317,dobj
bump off,02488014,dobj
bump,01530296,dobj
bundle off,01958868,dobj
bungle,02533317,dobj
bungle,00013165,dobj
burke,00463807,dobj
burke,02488373,dobj
burn,00379335,dobj
burn,00196708,dobj
burn,01207620,dobj
burn down,00378022,subj
burn down,00379335,dobj
burn out,00436247,subj
burn off,01207620,dobj
burn off,00196596,dobj
burn up,01207620,dobj
burn up,00378022,subj
burst,01993576,dobj
burst,00334404,subj
bury,00611721,dobj
bust up,01568966,dobj
bust,01372423,dobj
bust,01372011,subj
bust,00334404,subj
bypass,00812833,dobj
call off,02483178,dobj
calm down,01767681,subj
calm down,00559138,subj
calm down,01768652,dobj
calm,01768652,dobj
calm,00022309,dobj
calm,01767681,subj
cancel out,00472127,dobj
cancel,02483178,dobj
cancel,02723706,dobj
cancel,02482757,dobj
cancel,01551969,dobj
cancel,00802122,dobj
can,02407967,dobj
carry off,00471632,dobj
cashier,02432443,dobj
cast aside,02227100,dobj
cast away,02227100,dobj
cast off,01516062,dobj
cast out,02509666,dobj
cast out,02227100,dobj
cast,01516062,dobj
castrate,00543033,dobj
cave in,01993067,subj
cease,02686624,comp
cease,02686624,dobj
cease,02615799,subj
cede,02240011,dobj
censor,02499315,dobj
chase away,02006752,dobj
cheapen,00208136,dobj
checkmate,01116893,dobj
check,00441241,dobj
check,00355288,dobj
check,01133899,dobj
check,01142182,dobj
check,00337070,subj
cheese,02686501,dobj
chicken out,02386122,pobj_of
chill out,01767681,subj
choke back,00392119,dobj
choke down,00392119,dobj
choke off,00392119,dobj
choke,02428846,dobj
choke,00391723,dobj
choke,02535335,dobj
choke,00359085,subj
choke,00391905,subj
chop down,01260071,dobj
chop off,01301854,dobj
chuck,02232144,dobj
chuck out,02227100,dobj
chuck out,01471205,dobj
circumvent,00811316,dobj
clarify,00941888,dobj
clean out,02408550,dobj
clear away,00181704,dobj
clear up,00941888,dobj
clear up,00485823,dobj
clear off,00181704,dobj
clear,00181809,pobj_of
clear,00451818,pobj_of
clear,00451520,pobj_of
clear,02355436,pobj_of
clear,00905999,pobj_of
clear,00195686,dobj
clear,00763499,dobj
clear,00451646,dobj
clear,02161274,subj
clip,00293639,dobj
clog,01303864,dobj
clog,00441962,dobj
close down,02431242,subj
close down,02431242,dobj
close off,01480024,dobj
close off,02035671,pobj_from
close out,02635471,dobj
close out,02357534,dobj
close out,00352373,dobj
close up,02431242,subj
close up,02431242,dobj
close up,01479113,dobj
close,02431242,subj
close,02431242,dobj
close,02430760,dobj
close,01481053,dobj
close,02145254,dobj
close,02616663,subj
closure,00528114,dobj
cloture,00528114,dobj
cloud,00589133,dobj
collapse,01993067,subj
collapse,00030640,subj
collapse,02045722,subj
collapse,00224886,subj
collapse,01993576,dobj
comb out,02228412,dobj
combat,01094777,dobj
come apart,00334996,subj
come away,01302344,subj
come down,01974840,subj
come off,01302344,subj
come out,02102203,subj
comfort,00082061,dobj
compensate,02678329,dobj
compensate,02525657,dobj
compensate,02255433,dobj
compensate,02255433,pobj_for
complete,00485097,dobj
conclude,02616663,subj
conclude,00716979,dobj
conflict,02573062,pobj_with
confute,00669342,dobj
conk out,00435327,subj
conk out,00099271,subj
conk,01866326,subj
conk,00359085,subj
conquer,00463047,dobj
conquer,01116721,dobj
constipate,00441962,dobj
consume,01568702,dobj
consume,01159815,dobj
contain,01133899,dobj
contract,01282077,dobj
contract,00241457,subj
contradict,00778104,dobj
contradict,02669219,dobj
contradict,00825097,dobj
contradict,00668804,dobj
contraindicate,00930437,dobj
contravene,02573062,dobj
contravene,02573062,pobj_against
contravene,00825097,dobj
contravene,00825097,pobj_against
controvert,00669665,dobj
controvert,00778104,dobj
convalesce,00092442,pobj_from
cool down,00370779,subj
cool off,00370779,subj
cool off,01781624,subj
cool off,01767681,subj
cool,00370779,subj
cop out,00681634,pobj_of
corrade,01256577,dobj
correct,00200023,dobj
correct,02525657,dobj
correct,02678329,dobj
correct,00079223,pobj_for
corrode,00275082,dobj
corrode,00274762,subj
corrupt,02585532,dobj
cost,02635042,dobj
counteract,02549571,dobj
counteract,02570756,dobj
counteract,02549304,dobj
counterbalance,02678329,dobj
counterbalance,02549571,dobj
countermand,00801460,dobj
countermine,02549304,dobj
countervail,02723890,dobj
countervail,02549571,dobj
crack,00337875,subj
crack,00337070,subj
cramp,00237139,dobj
