anger,nonshifter
angle,nonshifter
angle-park,nonshifter
anglicise,nonshifter
anglicize,nonshifter
anguish,nonshifter
angulate,nonshifter
animadvert,nonshifter
animalise,nonshifter
animalize,nonshifter
animate,nonshifter
animise,nonshifter
animize,nonshifter
ankylose,nonshifter
anneal,nonshifter
annex,nonshifter
annihilate,shifter
annotate,nonshifter
announce,nonshifter
annoy,nonshifter
annul,shifter
annunciate,nonshifter
anodise,nonshifter
anodize,nonshifter
anoint,nonshifter
answer,nonshifter
answer_for,nonshifter
antagonise,shifter
antagonize,shifter
ante,nonshifter
ante_up,nonshifter
antecede,nonshifter
antedate,nonshifter
anthologise,nonshifter
anthologize,nonshifter
anthropomorphise,nonshifter
anthropomorphize,nonshifter
antic,nonshifter
anticipate,nonshifter
antiquate,nonshifter
antique,nonshifter
antisepticize,nonshifter
ape,nonshifter
aphorise,nonshifter
aphorize,nonshifter
apologise,nonshifter
apologize,nonshifter
apostatise,nonshifter
apostatize,nonshifter
apostrophise,nonshifter
apostrophize,nonshifter
apotheose,nonshifter
apotheosise,nonshifter
apotheosize,nonshifter
appal,nonshifter
appall,nonshifter
apparel,nonshifter
appeal,nonshifter
appear,nonshifter
appease,shifter
append,nonshifter
apperceive,nonshifter
appertain,nonshifter
applaud,nonshifter
applique,nonshifter
apply,nonshifter
appoint,nonshifter
apportion,nonshifter
appose,nonshifter
appraise,nonshifter
appreciate,nonshifter
apprehend,nonshifter
apprentice,nonshifter
apprise,nonshifter
apprize,nonshifter
approach,nonshifter
approbate,nonshifter
appropriate,nonshifter
approve,nonshifter
approximate,nonshifter
aquaplane,nonshifter
aquatint,nonshifter
arbitrage,nonshifter
arbitrate,nonshifter
arborise,nonshifter
arborize,nonshifter
arc,nonshifter
arch,nonshifter
arch_over,nonshifter
archaise,nonshifter
archaize,nonshifter
archive,nonshifter
argue,nonshifter
argufy,nonshifter
arise,nonshifter
arm,nonshifter
armor,nonshifter
armour,nonshifter
aromatise,nonshifter
aromatize,nonshifter
arouse,nonshifter
arraign,nonshifter
arrange,nonshifter
array,nonshifter
arrest,shifter
arrive,nonshifter
arrogate,nonshifter
arse_about,nonshifter
arse_around,nonshifter
